0	0									0	2									0	7300									7400	80									100
1	0									0	2									0	7300									15002	80									100
2	0	1								0	2	0								0	7300	7400								15002	80	50								100
3	0	1								0	2	0								0	7300	7400								15002	80	50								100
4	0	1								0	2	0								0	7300	7400								15002	80	50								100
5	0	1								0	2	0								0	7300	7400								15002	80	50								100
6	0	1								0	2	0								0	7300	7400								15002	80	50								100
11	0	1								0	2	0								0	7300	7400								15002	80	50								100
12	0	1								0	2	0								0	7300	7400								15002	80	50								100
13	0	1								0	2	0								0	7300	7400								15002	80	50								100
14	0	1								0	2	0								0	7300	7400								15002	80	50								100
15	0	1								0	2	0								0	7300	7400								15002	80	50								100
21	0	1								0	2	0								0	7300	7400								15002	80	50								100
22	0	1								0	2	0								0	7300	7400								15002	80	50								100
23	0	1								0	2	0								0	7300	7400								15002	80	50								100
24	0	1								0	2	0								0	7300	7400								15002	80	50								100
25	0	1								0	2	0								0	7300	7400								15002	80	50								100
26	0	1								0	2	0								0	7300	7400								15002	80	50								100
31	0	1								0	2	0								0	7300	7400								15002	80	50								100
32	0	1								0	2	0								0	7300	7400								15002	80	50								100
33	0	1								0	2	0								0	7300	7400								15002	80	50								100
34	0	1								0	2	0								0	7300	7400								15002	80	50								100
101	1	2								0	2	2								0	7300	100								15002	80	50								100
102	0	1								0	2	0								0	7300	7400								15002	80	50								100
103	0	1								0	2	0								0	7300	7400								15002	80	50								100
104	0	2								0	2	0								0	7300	7800								15002	80	50								100
105	0	1								0	2	0								0	7300	7400								15002	80	50								100
111	0	1								0	2	0								0	7300	7400								15002	80	50								100
112	0	1								0	2	0								0	7300	7400								15002	80	50								100
113	0	1								0	2	0								0	7300	7400								15002	80	50								100
114	0	1								0	2	0								0	7300	7400								15002	80	50								100
115	0	1								0	2	0								0	7300	7400								15002	80	50								100
121	0	1								0	2	0								0	7300	7400								15002	80	50								100
122	0	1								0	2	0								0	7300	7400								15002	80	50								100
123	0	1								0	2	0								0	7300	7400								15002	80	50								100
124	0	1								0	2	0								0	7300	7400								15002	80	50								100
201	1	1	7							0	2	0	0							0	7300	7400	15001							15002	80	50	50							100
202	0	1								0	2	0								0	7300	7400								15002	80	50								100
203	0	1								0	2	0								0	7300	7400								15002	80	50								100
204	0	1								0	2	0								0	7300	7400								15002	80	50								100
205	0	1								0	2	0								0	7300	7400								15002	80	50								100
206	0	1								0	2	0								0	7300	7400								15002	80	50								100
211	0	1								0	2	0								0	7300	7400								15002	80	50								100
212	0	1								0	2	0								0	7300	7400								15002	80	50								100
213	0	1								0	2	0								0	7300	7400								15002	80	50								100
214	0	1								0	2	0								0	7300	7400								15002	80	50								100
241	0	1								0	2	0								0	7300	7400								15002	80	50								100
242	0	1								0	2	0								0	7300	7400								15002	80	50								100
243	0	1								0	2	0								0	7300	7400								15002	80	50								100
244	0	1								0	2	0								0	7300	7400								15002	80	50								100
245	0	1								0	2	0								0	7300	7400								15002	80	50								100
246	0	1								0	2	0								0	7300	7400								15002	80	50								100
251	0	8								0	2	2								0	7300	8100								15002	80	50								100
252	0	1								0	2	0								0	7300	7400								15002	80	50								100
253	0	1								0	2	0								0	7300	7400								15002	80	50								100
254	0	1								0	2	0								0	7300	7400								15002	80	50								100
255	0	1								0	2	0								0	7300	7400								15002	80	50								100
