連擊	0	130000	1	6	1	100	100	143	2	1		1000				0		
諸刃	1	130001	1	6	1	100	100	159	2	1		1000				0		
乾坤一擲	3	130003	1	6	1	100	100	159	2	1		1000				0		
氣功彈	4	130004	1	6	1	100	100	128	2	1		1000				0		
崩擊	5	130005	1	6	1	100	100	143	2	1		1000				0	140	200
戰慄襲心	6	130006	1	6	1	100	100	143	2	1		1000				0	140	200
護衛	7	130007	1	6	2	100	100	255	2	1		1000				0	140	200
聖盾	8	130008	1	6	2	100	100	255	2	1		1000				0		
陽炎	9	130009	1	6	2	100	100	255	2	1		1000				0	150	200
防禦魔法攻擊	10	130010	1	6	2	100	100	255	2	1		1000				1		
反擊	11	130011	1	6	2	100	100	143	2	1		1000				0	140	200
明鏡止水	12	130012	1	6	1	100	100	255	2	1		1000				0	140	200
抗毒	13	130013	0	6	4	5000	100	255	2	1		1000				0	150	200
抗昏睡	14	130014	0	6	4	5000	100	255	2	1		1000				0	150	200
抗石化	15	130015	0	6	4	5000	100	255	2	1		1000				0	150	200
抗酒醉	16	130016	0	6	4	5000	100	255	2	1		1000				0	150	200
抗混亂	17	130017	0	6	4	5000	100	255	2	1		1000				0	150	200
抗遺忘	18	130018	0	6	4	5000	100	255	2	1		1000				0	150	200
隕石魔法	19	130019	3	6	1	100	100	255	2	1		1000				0	70	200
冰凍魔法	20	130020	3	6	1	100	100	255	2	1		1000				0	70	200
火焰魔法	21	130021	3	6	1	100	100	255	2	1		1000				0	70	200
風刃魔法	22	130022	3	6	1	100	100	255	2	1		1000				0	70	200
強力隕石魔法	23	130023	3	6	1	100	100	255	2	1		1000				0	70	200
強力冰凍魔法	24	130024	3	6	1	100	100	255	2	1		1000				0	70	200
強力火焰魔法	25	130025	3	6	1	100	100	255	2	1		1000				0	70	200
強力風刃魔法	26	130026	3	6	1	100	100	255	2	1		1000				0	70	200
超強隕石魔法	27	130027	3	6	1	5000	100	255	2	1		1000				0	70	200
超強冰凍魔法	28	130028	3	6	1	5000	100	255	2	1		1000				0	70	200
超強火焰魔法	29	130029	3	6	1	5000	100	255	2	1		1000				0	70	200
超強風刃魔法	30	130030	3	6	1	5000	100	255	2	1		1000				0	70	200
