虎人	1	20	5	6	20	24	15	17	14	100	2	30	0	0	30	0	0	70	0	0	0	0	0	0	0	3	0	0	8	101000	100	0	1		1	7300	7400								
猫妖	2	20	5	6	17	22	15	26	15	100	2	30	0	0	0	70	30	0	0	0	0	0	0	0	0	3	0	0	9	101001	100	0	2		1	7300	7400								
罗刹	3	20	5	6	22	23	12	20	18	100	2	30	0	0	0	30	70	0	0	0	0	0	0	0	1	3	0	0	9	101002	100	0	3		1	7300	7400	2530							
猫人	4	20	5	6	21	25	13	24	12	100	2	30	0	0	50	0	0	50	0	0	0	0	0	0	1	3	0	0	9	101003	100	0	4		1	7300	7400	930							
恶魔猫	5	20	5	6	19	21	10	25	20	100	2	30	0	0	70	0	0	30	0	0	0	0	0	0	1	3	0	0	9	101004	100	0	5		1	7300	7400	2330							
妖狐	6	20	5	6	16	28	9	23	24	150	3	20	0	0	0	50	50	0	0	0	0	0	0	0	1	4	0	0	8	101005	100	0	6		1	7300	7400	8130							
穴熊	11	20	5	6	32	32	17	17	12	250	5	0	0	0	80	20	0	0	0	0	0	0	0	0	0	0	0	0	6	101010	100	0	7		1	7300	7400	530							
赤熊	12	20	5	6	33	34	13	18	12	250	5	0	0	0	0	0	80	20	0	0	0	0	0	0	0	0	0	0	6	101011	100	0	8		1	7300	7400								
北极熊	13	20	5	6	34	31	20	16	9	250	5	0	0	0	20	80	0	0	0	0	0	0	0	0	0	0	0	0	6	101012	100	0	9		1	7300	7400	330							
赤目黑熊	14	20	5	6	31	33	12	20	14	250	5	0	0	0	0	0	20	80	0	0	0	0	0	0	1	0	0	0	6	101013	100	0	10		1	7300	130								
猫熊	15	20	5	6	30	38	16	15	16	300	6	50	0	0	0	50	50	0	0	0	0	0	0	0	2	4	0	0	7	101014	100	0	11		1	7300	7400								
大地鼠	21	20	5	6	4	11	18	24	33	50	1	40	0	0	100	0	0	0	0	0	0	0	0	0	0	4	0	0	10	101020	100	0	12		1	7300	1930								
恶梦鼠	22	20	5	6	2	6	16	31	35	50	1	40	0	0	0	100	0	0	0	0	0	0	0	0	1	4	0	0	10	101021	100	0	13		1	7300	7400	2030							
火焰鼠	23	20	5	6	5	10	13	32	30	50	1	40	0	0	0	0	100	0	0	0	0	0	0	0	0	4	0	0	10	101022	100	0	14		1	7300	2130								
宝石鼠	24	20	5	6	5	5	20	25	35	50	1	40	0	0	0	0	0	100	0	0	0	0	0	0	1	4	0	0	10	101023	100	0	15		1	7300	2230	2630							
水蓝鼠	25	20	5	6	9	13	26	26	31	300	6	50	0	0	50	50	0	0	0	0	0	0	0	0	2	4	0	0	10	101024	100	0	16		1	7300	7400								
鼠王	26	20	5	6	13	5	17	30	40	350	7	60	0	0	0	0	50	50	0	0	0	0	0	0	2	4	0	0	10	101025	100	0	17		1	7300	7400								
地狱看门犬	31	20	5	6	24	34	10	21	16	200	4	10	0	0	0	60	40	0	0	0	0	0	0	0	0	1	0	0	7	101030	100	0	18		1	7300	7400	30							
巨狼	32	20	5	6	20	35	9	23	18	200	4	10	0	0	60	40	0	0	0	0	0	0	0	0	0	1	0	0	7	101031	100	0	19		1	7300	7400	630							
地狱猎犬	33	20	5	6	22	33	17	20	13	200	4	10	0	0	0	0	60	40	0	0	0	0	0	0	1	1	0	0	7	101032	100	0	20		1	7300	7400								
地狱妖犬	34	20	5	6	21	38	11	19	16	200	4	10	0	0	40	0	0	60	0	0	0	0	0	0	1	1	0	0	7	101033	100	0	21		1	7300	7400	130							
僵尸	101	20	5	2	35	30	10	10	10	100	2	30	0	0	40	0	0	60	0	0	0	0	0	0	0	3	0	0	9	101100	100	0	22		1	7300	130								
丧尸	102	20	5	2	33	32	5	13	12	100	2	30	0	0	0	60	40	0	0	0	0	0	0	0	1	3	0	0	9	101101	100	0	23		1	7300	7400								
食尸鬼	103	20	5	2	30	30	15	5	15	100	2	30	0	0	0	0	60	40	0	0	0	0	0	0	0	3	0	0	9	101102	100	0	24		1	7300	7400	630							
腐尸	104	20	5	2	40	35	10	5	5	100	2	30	0	0	60	40	0	0	0	0	0	0	0	0	0	3	0	0	9	101103	100	0	25		1	7300	7400	7830							
木乃伊	105	20	5	2	37	30	12	6	15	150	3	20	0	0	0	0	50	50	0	0	0	0	0	0	1	3	0	0	8	101104	100	0	26		1	7300	7400	8030							
骷髅战士	111	20	5	2	10	25	40	10	15	150	3	20	0	0	30	0	0	70	0	0	0	0	0	0	0	2	0	0	8	101110	100	0	27		1	7300	7400								
血骷髅	112	20	5	2	11	22	39	8	20	150	3	20	0	0	0	0	70	30	0	0	0	0	0	0	1	2	0	0	8	101111	100	0	28		1	7300	7400	630							
地狱骷髅	113	20	5	2	12	28	38	9	13	150	3	20	0	0	0	70	30	0	0	0	0	0	0	0	0	2	0	0	8	101112	100	0	29		1	7300	7400	330							
武装骷髅	114	20	5	2	7	24	45	6	18	150	3	20	0	0	70	30	0	0	0	0	0	0	0	0	1	2	0	0	8	101113	100	0	30		1	7300	830								
骷髅海盗	115	20	5	2	10	27	43	11	14	150	3	20	0	0	50	50	0	0	0	0	0	0	0	0	1	2	0	0	8	101114	100	0	31		1	7300	7400								
