20233_狩獵地帶

#20230_關都地區_真新鎮
320250	20250	9	2	20250	26	20
320250	20250	26	20	20250	9	2
320250	20250	19	29	20230	124	375
320250	20230	124	375	20250	19	29
320250	20230	131	384	20251	10	19
320250	20251	10	19	20230	131	384
320250	20251	9	19	20230	131	384


#20231_寶可夢中心&20232_寶可夢商店
320230	20230	135	289	20231	14	21
320230	20231	14	21	20230	135	289
320230	20230	142	278	20232	14	21
320230	20232	14	21	20230	142	278
320230	20230	126	96	20231	66	21
320230	20231	66	21	20230	126	96
320230	20230	139	79	20232	66	21
320230	20232	66	21	20230	139	79
320230	20230	302	108	20231	118	21
320230	20231	118	21	20230	302	108
320230	20230	307	120	20232	118	21
320230	20232	118	21	20230	307	120
320230	20230	290	330	20231	14	65
320230	20231	14	65	20230	290	330
320230	20230	306	335	20232	14	65
320230	20232	14	65	20230	306	335
320230	20230	393	232	20231	66	65
320230	20231	66	65	20230	393	232
320230	20230	418	247	20232	66	65
320230	20232	66	65	20230	418	247
320230	20230	223	214	20231	118	65
320230	20231	118	65	20230	223	214
##320230	20230	199	231	20232	118	65
##320230	20232	118	65	20230	199	231
320230	20230	281	464	20231	14	109
320230	20231	14	109	20230	281	464
320230	20230	262	423	20232	14	109
320230	20232	14	109	20230	262	423
320230	20230	288	261	20231	66	109
320230	20231	66	109	20230	288	261
320230	20230	316	224	20232	66	109
320230	20232	66	109	20230	316	224
320230	20230	139	558	20231	118	109
320230	20231	118	109	20230	139	558
320230	20230	144	558	20232	118	109
320230	20232	118	109	20230	144	558
#野外寶可夢中心
320231	20230	227	77	20231	66	153
320231	20231	66	153	20230	227	77
320231	20230	413	142	20231	118	153
320231	20231	118	153	20230	413	142
320231	20230	49	129	20231	14	153
320231	20231	14	153	20230	49	129
320231	20230	50	129	20231	15	153
320231	20231	15	153	20230	50	129


#道館相關
320230	20230	121	80	20252	7	14
320230	20230	122	80	20252	7	14
320230	20252	7	14	20230	122	80
320230	20230	313	110	20253	7	14
320230	20230	314	110	20253	7	14
320230	20253	7	14	20230	314	110
320230	20230	283	350	20254	7	17
320230	20230	284	350	20254	7	17
320230	20254	7	17	20230	284	350
320230	20230	201	248	20255	7	17
320230	20230	202	248	20255	7	17
320230	20255	7	17	20230	202	248
320230	20230	260	462	20256	7	17
320230	20230	261	462	20256	7	17
320230	20256	7	17	20230	261	462
320230	20230	322	201	20257	12	24
320230	20230	323	201	20257	12	24
320230	20257	12	24	20230	323	201
320230	20230	147	543	20258	20	24
320230	20230	148	543	20258	20	24
320230	20258	20	24	20230	148	543
320230	20230	141	257	20259	20	24
320230	20230	142	257	20259	20	24
320230	20259	20	24	20230	142	257
320230	20230	314	201	20260	7	17
320230	20230	315	201	20260	7	17
320230	20260	7	17	20230	315	201
#金黃道館
320257	20257	15	20	20257	20	21
320257	20257	22	20	20257	20	12
320257	20257	18	11	20257	20	4
320257	20257	22	6	20257	4	21
320257	20257	6	23	20257	4	12
320257	20257	2	14	20257	4	4
320257	20257	6	3	20257	12	4
320257	20257	14	3	20257	4	4
320257	20257	2	6	20257	15	14
320257	20257	15	14	20257	4	4
320257	20257	2	3	20257	20	4
320257	20257	22	3	20257	20	21
320257	20257	22	23	20257	15	20
#常青道館
320259	20259	16	23	20259	9	23
320259	20259	16	24	20259	3	24
320259	20259	3	22	20259	3	17
320259	20259	2	22	20259	2	14
320259	20259	6	12	20259	6	20
320259	20259	7	20	20259	16	20
320259	20259	6	21	20259	16	21
320259	20259	23	17	20259	23	4
320259	20259	22	3	20259	22	17
320259	20259	22	4	20259	22	17
320259	20259	23	2	20259	15	2
320259	20259	15	3	20259	21	3
320259	20259	15	4	20259	22	4
320259	20259	19	15	20259	19	18
320259	20259	20	15	20259	20	18


#地鼠洞窟
320240	20230	333	335	20240	43	9
320240	20240	43	9	20230	333	335
320240	20240	45	4	20240	45	41
320240	20240	45	41	20240	45	4
320240	20240	6	2	20240	8	42
320240	20240	8	42	20240	6	2
320240	20240	6	47	20230	139	132
320240	20230	139	132	20240	6	47


#月見山
320241	20230	229	82	20241	20	47
320241	20241	20	47	20230	229	82
320241	20241	22	13	20241	29	104
320241	20241	29	104	20241	22	13
320241	20241	38	15	20241	34	89
320241	20241	34	89	20241	38	15
320241	20241	7	6	20230	254	46
320241	20230	254	46	20241	7	6
320241	20230	255	53	20241	18	114
320241	20241	18	114	20230	255	53
320241	20241	7	89	20230	255	71
320241	20230	255	71	20241	7	89


#發電廠
320242	20230	401	168	20242	7	47
320242	20230	400	168	20242	6	47
320242	20242	7	47	20230	401	168
320242	20242	6	47	20230	400	168
320242	20242	1	15	20230	400	168
320242	20242	1	16	20230	401	168


#岩山隧道
320243	20230	407	135	20243	23	3
320243	20243	23	3	20230	407	135
320243	20243	46	5	20243	42	112
320243	20243	42	112	20243	46	5
320243	20243	37	84	20243	6	4
320243	20243	6	4	20243	37	84
320243	20243	22	13	20243	28	94
320243	20243	28	94	20243	22	13
320243	20243	5	84	20243	46	21
320243	20243	46	21	20243	5	84
320243	20243	20	47	20230	407	191
320243	20230	407	191	20243	20	47


#雙子島1F
320244	20230	197	545	20244	10	47
320244	20244	10	47	20230	197	545
320244	20244	38	39	20244	38	119
320244	20244	38	119	20244	38	39
320244	20244	43	8	20244	43	88
320244	20244	43	88	20244	43	8
320244	20244	16	10	20244	16	90
320244	20244	16	90	20244	16	10
320244	20230	214	552	20244	40	47
320244	20244	40	47	20230	214	552
#雙子島2F
320244	20244	44	113	20244	44	193
320244	20244	44	193	20244	44	113
320244	20244	31	122	20244	31	202
320244	20244	31	202	20244	31	122
320244	20244	22	101	20244	22	178
320244	20244	22	178	20244	22	101
320244	20244	10	86	20244	10	168
320244	20244	10	168	20244	10	86
#雙子島3F
320244	20244	42	196	20244	125	79
320244	20244	125	79	20244	42	196
320244	20244	45	169	20244	125	52
320244	20244	125	52	20244	45	169
320244	20244	9	196	20244	92	74
320244	20244	92	74	20244	9	196
#雙子島4F
320244	20244	122	54	20244	127	134
320244	20244	127	134	20244	122	54
320244	20244	97	59	20244	102	142
320244	20244	102	142	20244	97	59
#雙子島掉落
320244	20244	26	16	20244	26	96
320244	20244	41	16	20244	41	96
320244	20244	30	99	20244	30	175
320244	20244	39	99	20244	39	175


#冠軍之路
320245	20230	48	160	20245	17	31
320245	20245	17	31	20230	48	160
320245	20245	8	4	20245	10	59
320245	20245	10	59	20245	8	4
320245	20245	46	68	20245	56	113
320245	20245	56	113	20245	46	68
320245	20245	49	59	20245	54	105
320245	20245	54	105	20245	49	59
320245	20245	44	58	20245	48	103
320245	20245	48	103	20245	44	58
320245	20245	11	96	20245	9	51
320245	20245	9	51	20245	11	96
320245	20245	47	113	20245	47	71
320245	20245	60	65	20230	49	146
320245	20230	46	146	20245	60	65
320245	20230	47	146	20245	60	65
320245	20230	48	146	20245	60	65
320245	20230	49	146	20245	60	65
320245	20230	50	146	20245	60	65
320245	20230	51	146	20245	60	65


#火箭隊總部
320246	20230	206	236	20235	15	49
320246	20235	15	49	20230	206	236
320246	20235	24	3	20246	16	3
320246	20246	16	3	20235	24	3
320246	20246	15	3	20235	24	3
320246	20246	20	2	20246	31	75
320246	20246	31	74	20246	20	2
320246	20246	31	75	20246	20	2
320246	20246	16	31	20246	25	84
320246	20246	25	83	20246	16	31
320246	20246	25	84	20246	16	31
320246	20246	23	74	20246	96	9
320246	20246	96	8	20246	23	74
320246	20246	96	9	20246	23	74
320246	20246	84	34	20246	82	83
320246	20246	82	82	20246	84	34
320246	20246	82	83	20246	84	34
#火箭隊總部B2陷阱
320246	20246	17	77	20246	14	79
320246	20246	13	77	20246	14	79
320246	20246	13	79	20246	14	79
320246	20246	17	78	20246	2	76
320246	20246	12	80	20246	2	76
320246	20246	12	78	20246	2	76
320246	20246	12	76	20246	2	76
320246	20246	10	76	20246	2	76
320246	20246	8	76	20246	2	76
320246	20246	4	76	20246	2	76
320246	20246	10	77	20246	2	76
320246	20246	10	82	20246	2	76
